,title,release_date,popularity,vote_count,vote_average,genres,actor,director,id,recommed_count
3976,이탈리안 잡,2003-05-30,26.001,4756,6.8,액션 범죄,"[13240, 6885, 819]",[37932],9654,6.938548909900337
3988,스위니 토드: 어느 잔혹한 이발사 이야기,2007-12-20,27.145,5148,7.2,드라마 공포,"[85, 1283, 4566]",[510],13885,7.160475944139774
3992,로보캅,2014-01-30,24.698,4822,5.8,SF 액션,"[92404, 64, 2232]",[52576],97020,6.383755130840459
4016,논스톱,2014-02-26,19.931,4722,6.8,액션 스릴러 미스테리,"[3896, 1231, 59233]",[59521],225574,6.939096152341858
4023,나는 사랑과 시간과 죽음을 만났다,2016-12-06,22.926,4974,7.2,드라마 로맨스,"[2888, 819, 204]",[5065],345920,7.159699738076604
4029,아멜리에,2001-04-25,26.516,10083,7.9,코미디 로맨스,"[2405, 2406, 2407]",[2419],194,7.679707901736611
4063,지구가 끝장 나는 날,2013-07-18,22.593,4646,6.8,코미디 액션 SF,"[11108, 11109, 7060]",[11090],107985,6.940335171045326
4067,화성 침공,1996-12-12,21.837,4702,6.4,코미디 판타지 SF,"[514, 515, 516]",[510],75,6.720416823399944
4081,개들의 섬,2018-03-23,21.084,4073,7.9,모험 코미디 애니메이션,"[17419, 1726151, 12438]",[5655],399174,7.513360934710229
4084,오션스 13,2007-06-06,21.973,5482,6.7,범죄 스릴러,"[1461, 287, 1892]",[1884],298,6.86929330479918
4124,인사이드 맨,2006-03-17,22.39,4922,7.4,범죄 드라마 스릴러,"[5292, 2296, 1038]",[5281],388,7.2712238509716975
4152,21,2008-03-27,22.819,4036,6.7,드라마 범죄,"[38941, 1979, 7517]",[36797],8065,6.900194354879918
4173,결혼 이야기,2019-09-28,25.011,5997,7.8,드라마,"[1023139, 1245, 4784]",[5656],492188,7.527950994572368
4178,토탈 리콜,1990-06-01,24.493,4857,7.3,액션 모험 SF,"[1100, 10768, 4430]",[10491],861,7.214713448399715
4188,사랑에 대한 모든 것,2014-11-26,20.691,9623,7.9,드라마 로맨스,"[37632, 72855, 23458]",[76998],266856,7.6722066532947455
4189,"러브, 사이먼",2018-02-16,28.496,5513,8.1,코미디 드라마 로맨스,"[1108907, 9278, 19536]",[88967],449176,7.689907402846975
4193,"아이, 토냐",2017-12-08,23.644,4987,7.5,드라마,"[234352, 60898, 86034]",[50767],389015,7.328371427855147
4194,아폴로 13,1995-06-30,22.182,4687,7.4,역사 드라마 모험,"[31, 2053, 4724]",[6159],568,7.267693885379531
4196,미트 페어런츠 2,2004-12-22,17.282,4162,6.2,코미디 로맨스,"[7399, 380, 4483]",[6737],693,6.638486540675785
4202,라스베가스의 공포와 혐오,1998-05-22,22.227,3945,7.2,모험 드라마 코미디,"[85, 1121, 2219]",[280],1878,7.15440424969464
4212,빅 피쉬,2003-12-25,23.221,6344,7.8,모험 판타지 드라마,"[3061, 3926, 8289]",[510],587,7.537178854287265
4215,쓰리 빌보드,2017-12-01,21.775,8836,8.1,범죄 드라마,"[3910, 6807, 57755]",[54472],359940,7.797024027618199
4259,에이리언 3,1992-05-22,28.385,4666,6.4,SF 액션 공포,"[10205, 17764, 4391]",[7467],8077,6.721765631356258
4283,카지노,1995-11-22,23.62,4762,8.0,범죄 드라마,"[380, 4430, 4517]",[1032],524,7.599229842664052
