,title,release_date,popularity,vote_count,vote_average,genres,actor,director,id,recommed_count
4445,쿠스코? 쿠스코! 2,2005-12-05,27.825,1078,6.4,애니메이션 코미디 가족,"[9657, 30364, 70243]",[77488],13417,6.3367307347378015
4446,미녀 삼총사,2000-11-02,24.323,3631,5.8,액션 모험 코미디 범죄 스릴러,"[6941, 69597, 140]",[36425],4327,6.068395818443321
4447,스타더스트,2007-08-09,24.274,3486,7.2,모험 판타지 로맨스 가족,"[6194, 23458, 1160]",[957],2270,6.735693348784379
4448,2067,2020-10-01,15.39,654,5.2,SF 스릴러,"[113505, 133212, 2191082]",[1505073],528085,6.157958450933577
4449,사탄의 숭배자,2017-09-28,21.876,197,6.7,공포 드라마 미스테리,"[1154466, 581687, 1873239]",[121798],467012,6.3375536045159055
4450,"영안실, 야간근무자",2019-08-22,19.222,53,7.1,공포,"[2395263, 1309451, 1341438]",[1691764],625814,6.32968554639209
4451,이퀼리브리엄,2002-12-06,28.317,3841,7.0,액션 SF 스릴러,"[3894, 17637, 2464]",[13927],7299,6.657607268957998
4452,글래디에이터: 레전드 워리어,2020-05-08,20.174,93,6.2,모험 역사 액션,"[2295, 39126, 22462]",[22453],631939,6.316393909836251
4453,경찰서를 털어라,1999-09-17,22.616,1222,6.4,액션 코미디 범죄,"[78029, 36422, 4169]",[56911],11001,6.338514363202514
4454,나이트 헌터,2019-08-29,21.829,676,6.5,드라마 스릴러,"[73968, 2282, 109513]",[1266884],441282,6.345973557044815
4455,그림스비: 용감한 형제,2016-02-24,23.12,1987,5.9,액션 코미디,"[6730, 2983, 52848]",[18865],267193,6.177359333771232
4456,로보캅 2,1990-06-22,17.864,1495,5.9,액션 모험 범죄 SF 스릴러,"[27811, 44038, 119232]",[10930],5549,6.2027190795834315
4457,스피시즈 3,2004-11-26,25.115,334,5.3,SF 액션 공포,"[43426, 17343, 58707]",[25882],9711,6.238514541999631
4458,아무도 모른다,2004-08-07,27.014,377,8.0,드라마,"[25648, 25649, 25650]",[25645],2517,6.467823449973832
4459,퍼펙트 스톰,2000-06-29,26.314,1874,6.4,액션 모험 드라마 스릴러,"[1461, 13240, 2882]",[5231],2133,6.345474195701119
4460,슬리퍼스,1996-10-18,22.814,2961,7.6,범죄 드라마 스릴러,"[4724, 8289, 380]",[8246],819,6.873073078317284
4461,베스트 키드 2,1986-06-18,19.812,1801,6.3,모험 드라마 액션 로맨스 가족,"[2877, 23915, 56123]",[16513],8856,6.313105568355626
4462,인간 지네 3,2015-05-22,21.617,617,3.7,공포,"[23721, 132398, 21315]",[118639],94365,5.960300103761591
4463,본 토마호크,2015-10-23,22.016,1766,6.8,서부 공포,"[6856, 17178, 28633]",[1018106],294963,6.4694146084993704
4464,톰과 제리: 호두까기 이야기,2007-10-02,18.862,108,6.8,애니메이션 가족 코미디,"[45923, 26089, 45924]",[23683],24696,6.332181113479831
4465,47 Hours to Live,2019-05-04,15.721,45,6.2,스릴러 공포,"[1672329, 1602977, 1181699]",[2576189],615017,6.317815153202352
4466,언힌지드,2020-07-16,21.126,1696,6.4,액션 스릴러,"[934, 1046903, 1352028]",[126910],625568,6.343735465288148
4467,크립쇼,1982-11-12,21.854,803,6.9,공포 코미디,"[11066, 11782, 6839]",[14999],16281,6.418646058272221
4468,一家子兒咕咕叫,2022-11-18,24.027,0,0.0,드라마 가족,"[136891, 1559780, 3373856]",[2036987],899460,6.3191794563145764
4469,아마겟돈 타임,2022-10-28,33.634,57,6.8,드라마,"[2253047, 1813, 239271]",[20561],615952,6.326130197118551
4470,変態ＳＥＸ　私とろける,1980-09-06,24.023,3,9.5,,"[2347585, 1472734, 3713681]",[225581],1027993,6.321633162056684
4471,짓2 : 붉은 낙타,2015-08-06,33.629,1,6.0,로맨스 스릴러,"[1011130, 1689516, 2629566]",[1315177],374909,6.319097341713004
4472,파인더스 키퍼스,2014-10-18,16.857,146,4.7,미스테리 스릴러 공포,"[56824, 1164259, 2144]",[79392],296626,6.2605484541762015
4473,완벽한 독재,2014-10-16,19.857,145,7.3,드라마 코미디,"[7370, 220496, 76857]",[76864],264525,6.354460770835635
4474,Guerra de Likes,2021-03-12,20.632,229,7.8,코미디,"[1251058, 947296, 271]",[102329],709629,6.4015872095354664
4475,에어로너츠,2019-11-04,21.566,902,6.8,모험 드라마 로맨스,"[37632, 72855, 14011]",[212240],514921,6.409760101762415
4476,울프워커스,2020-10-26,20.474,859,8.3,애니메이션 가족 모험 판타지,"[1363045, 2770089, 48]",[96676],441130,6.6777726801345505
4477,더 리더: 책 읽어주는 남자,2008-01-02,18.052,2548,7.4,드라마 로맨스,"[204, 5469, 5847]",[468],8055,6.747207237680828
4478,Ettore Bassi: Stage and Race,2022-11-22,23.996,2,6.0,다큐멘터리,[32819],[],1041342,6.319015269351452
4479,하트브레이크 키드,2007-10-05,33.58,1383,5.7,코미디 로맨스,"[7399, 50463, 11705]",[7395],9038,6.156658069318361
4480,페일 라이더,1985-06-28,24.647,861,7.2,서부,"[190, 21030, 44831]",[190],8879,6.478940671421624
4481,해커: 조작된 세계,2019-03-28,20.489,96,6.7,액션 가족,"[2117718, 1916142, 135753]",[2117716],545330,6.328360463897148
