title,release_date,popularity,vote_count,vote_average,genres,actor,director,id
리전,2010-01-21,123.843,2210,5.8,"[{'id': 14, 'name': '판타지'}, {'id': 27, 'name': '공포'}, {'id': 28, 'name': '액션'}]","[155, 6065, 6162]",[116357],22894
데드 캠프 3,2009-10-20,160.984,921,5.6,"[{'id': 27, 'name': '공포'}, {'id': 53, 'name': '스릴러'}]","[90582, 90755, 147893]",[126882],23823
이클립스,2010-06-23,194.285,7772,6.2,"[{'id': 12, 'name': '모험'}, {'id': 14, 'name': '판타지'}, {'id': 18, 'name': '드라마'}, {'id': 10749, 'name': '로맨스'}]","[11288, 37917, 84214]",[27571],24021
어벤져스,2012-04-25,226.694,27782,7.7,"[{'id': 12, 'name': '모험'}, {'id': 28, 'name': '액션'}, {'id': 878, 'name': 'SF'}]","[103, 3223, 16828]",[12891],24428
드래곤볼 Z: 불타올라라!! 열전 열전 초격전! (구극장판 8기),1993-03-06,183.141,715,7.3,"[{'id': 16, 'name': '애니메이션'}, {'id': 28, 'name': '액션'}, {'id': 878, 'name': 'SF'}]","[90496, 115790, 122501]",[81853],34433
스플라이스,2009-10-06,325.878,1874,5.8,"[{'id': 27, 'name': '공포'}, {'id': 53, 'name': '스릴러'}, {'id': 878, 'name': 'SF'}]","[98, 3490, 118357]",[5877],37707
언디스퓨티드 3:  리뎀션,2010-05-22,179.753,682,7.6,"[{'id': 28, 'name': '액션'}, {'id': 53, 'name': '스릴러'}]","[6696, 61856, 78110]",[78108],38234
다 큰 녀석들,2010-06-24,126.847,5153,6.3,"[{'id': 35, 'name': '코미디'}]","[2632, 19292, 32895]",[17494],38365
나쁜 녀석들: 포에버,2020-01-15,127.696,7188,7.2,"[{'id': 28, 'name': '액션'}, {'id': 53, 'name': '스릴러'}, {'id': 80, 'name': '범죄'}]","[2888, 78029, 544442]",[1399841],38700
라푼젤,2010-11-24,206.242,9786,7.6,"[{'id': 16, 'name': '애니메이션'}, {'id': 10751, 'name': '가족'}]","[2517, 16855, 69899]",[76595],38757
드래곤볼 Z: 용권폭발!! 손오공이 안 하면 누가 하랴! (구극장판 13기),1995-07-15,153.312,554,7.2,"[{'id': 16, 'name': '애니메이션'}, {'id': 28, 'name': '액션'}, {'id': 878, 'name': 'SF'}]","[1686, 65510, 90496]",[1060540],39108
리얼 스틸,2011-09-28,183.781,6978,6.9,"[{'id': 18, 'name': '드라마'}, {'id': 28, 'name': '액션'}, {'id': 878, 'name': 'SF'}]","[6968, 19034, 234479]",[17825],39254
드래곤볼 Z: 위험한 두 사람!! 슈퍼 전사는 잠들지 않는다 (구극장판 10기),1994-03-12,144.362,543,6.7,"[{'id': 16, 'name': '애니메이션'}, {'id': 28, 'name': '액션'}, {'id': 878, 'name': 'SF'}]","[1686, 65510, 90496]",[81853],44251
행오버 2,2011-05-25,136.575,9225,6.5,"[{'id': 35, 'name': '코미디'}]","[27105, 51329, 58225]",[57130],45243
카 2,2011-06-11,136.048,6546,6.0,"[{'id': 12, 'name': '모험'}, {'id': 16, 'name': '애니메이션'}, {'id': 35, 'name': '코미디'}, {'id': 10751, 'name': '가족'}]","[887, 3895, 15897]",[7879],49013
서부 전선 이상 없다,2022-10-07,1469.082,853,7.8,"[{'id': 18, 'name': '드라마'}, {'id': 28, 'name': '액션'}, {'id': 10752, 'name': '전쟁'}]","[1111158, 1820948, 3631223]",[221522],49046
맨 오브 스틸,2013-06-12,123.845,13557,6.6,"[{'id': 12, 'name': '모험'}, {'id': 28, 'name': '액션'}, {'id': 878, 'name': 'SF'}]","[335, 9273, 73968]",[15217],49521
R.I.P.D.: 알.아이.피.디.,2013-07-18,241.902,3378,5.8,"[{'id': 14, 'name': '판타지'}, {'id': 28, 'name': '액션'}, {'id': 35, 'name': '코미디'}, {'id': 80, 'name': '범죄'}]","[1229, 4724, 10859]",[57270],49524
브레이킹 던 Part 1,2011-11-16,150.061,7803,6.2,"[{'id': 12, 'name': '모험'}, {'id': 14, 'name': '판타지'}, {'id': 10749, 'name': '로맨스'}]","[11288, 37917, 84214]",[15557],50619
브레이킹 던 Part 2,2012-11-13,168.201,7927,6.5,"[{'id': 12, 'name': '모험'}, {'id': 14, 'name': '판타지'}, {'id': 18, 'name': '드라마'}, {'id': 10749, 'name': '로맨스'}]","[11288, 37917, 84214]",[15557],50620
리미트리스,2011-03-08,134.961,9323,7.2,"[{'id': 53, 'name': '스릴러'}, {'id': 878, 'name': 'SF'}, {'id': 9648, 'name': '미스테리'}]","[380, 37260, 51329]",[17329],51876
지퍼스 크리퍼스 3,2017-09-26,143.106,713,4.9,"[{'id': 27, 'name': '공포'}, {'id': 53, 'name': '스릴러'}, {'id': 9648, 'name': '미스테리'}]","[16936, 56357, 1679798]",[56349],55341
쓰리 미터스 어보브 헤븐,2010-12-03,174.832,2589,7.8,"[{'id': 18, 'name': '드라마'}, {'id': 10749, 'name': '로맨스'}]","[77122, 82700, 224874]",[82724],61979
퍼시픽 림,2013-07-11,136.409,10941,6.9,"[{'id': 12, 'name': '모험'}, {'id': 28, 'name': '액션'}, {'id': 878, 'name': 'SF'}]","[17605, 18054, 56365]",[10828],68726
월드워Z,2013-06-20,172.72,13550,6.8,"[{'id': 18, 'name': '드라마'}, {'id': 27, 'name': '공포'}, {'id': 28, 'name': '액션'}, {'id': 53, 'name': '스릴러'}, {'id': 878, 'name': 'SF'}]","[287, 175826, 1180907]",[12995],72190
잃어버린 세계를 찾아서 2: 신비의 섬,2012-01-19,134.348,3690,6.1,"[{'id': 12, 'name': '모험'}, {'id': 28, 'name': '액션'}, {'id': 878, 'name': 'SF'}]","[3895, 18918, 27972]",[132876],72545
나루토 질풍전 극장판 5기 - 블러드 프리즌,2011-07-30,153.675,438,7.3,"[{'id': 16, 'name': '애니메이션'}, {'id': 27, 'name': '공포'}, {'id': 28, 'name': '액션'}, {'id': 35, 'name': '코미디'}, {'id': 53, 'name': '스릴러'}, {'id': 9648, 'name': '미스테리'}]","[82055, 210350, 219659]",[116065],75624
아바타: 물의 길,2022-12-14,757.96,0,0.0,"[{'id': 12, 'name': '모험'}, {'id': 28, 'name': '액션'}, {'id': 878, 'name': 'SF'}]","[8691, 10205, 65731]",[2710],76600
언터처블: 1%의 우정,2011-11-02,124.236,15161,8.3,"[{'id': 18, 'name': '드라마'}, {'id': 35, 'name': '코미디'}]","[19370, 33161, 78423]",[84425],77338
테리파이어,2011-08-09,479.681,47,6.7,"[{'id': 27, 'name': '공포'}]","[1375765, 1375767, 1487368]",[933176],86328
슈퍼배드 2,2013-06-26,150.865,10041,6.9,"[{'id': 16, 'name': '애니메이션'}, {'id': 35, 'name': '코미디'}, {'id': 10751, 'name': '가족'}]","[4495, 4589, 41091]",[124747],93456
어벤져스: 에이지 오브 울트론,2015-04-22,173.081,20592,7.3,"[{'id': 12, 'name': '모험'}, {'id': 28, 'name': '액션'}, {'id': 878, 'name': 'SF'}]","[103, 3223, 74568]",[12891],99861
어메이징 스파이더맨 2,2014-04-16,125.735,11470,6.5,"[{'id': 12, 'name': '모험'}, {'id': 14, 'name': '판타지'}, {'id': 28, 'name': '액션'}]","[134, 37625, 54693]",[87742],102382
말레피센트,2014-05-28,124.032,11918,7.1,"[{'id': 12, 'name': '모험'}, {'id': 14, 'name': '판타지'}, {'id': 28, 'name': '액션'}, {'id': 10749, 'name': '로맨스'}, {'id': 10751, 'name': '가족'}]","[11356, 11701, 18050]",[1032536],102651
더 울프 오브 월 스트리트,2013-12-25,152.207,20620,8.0,"[{'id': 18, 'name': '드라마'}, {'id': 35, 'name': '코미디'}, {'id': 80, 'name': '범죄'}]","[6193, 21007, 234352]",[1032],106646
다 큰 녀석들 2,2013-07-11,143.145,3597,6.1,"[{'id': 35, 'name': '코미디'}]","[2632, 19292, 32895]",[17494],109418
